winery,winery_label
Château Lafleur-Gazin,2883
Château Lafon-Rochet,2884
Château Lafont Fourcat,2885
Château Laforge,2886
Château Lagarosse,2887
Château Lagrange,2888
Château Lagrave,2889
Château Lagrave Paran,2890
Château Lagrézette,2891
Château Lajarre,2892
Château Lalande Balestard,2893
Château Lalande Mausse,2894
Château Lalande-Borie,2895
Château Lalaudey,2896
Château Lamartine,2897
Château Lamothe,2898
Château Lamothe de Haux,2899
Château Lamothe-Bergeron,2900
Château Lamothe-Cissac,2901
Château Lamothe-Vincent,2902
Château Lamour,2903
Château Lamy,2904
Château Lanbersac,2905
Château Landat,2906
Château Langoa Barton,2907
Château Langrange Monbadon,2908
Château Lapelletrie,2909
Château Laride,2910
Château Larmande,2911
Château Laroche Joubert,2912
Château Laronde Désormes,2913
Château Laroque,2914
Château Larose Perganson,2915
Château Larose-Trintaudon,2916
Château Larrivet Haut-Brion,2917
Château Larroque,2918
Château Larteau,2919
Château Lary,2920
Château Lascombes,2921
Château Lastours,2922
Château Latour,2923
Château Latour à Pomerol,2924
Château Latour-Martillac,2925
Château Laubès,2926
Château Lauduc,2927
Château Laujac,2928
Château Laulerie,2929
Château Lauretan,2930
Château Lavergne-Dulong,2931
Château Laville Haut-Brion,2932
Château Le Boscq,2933
Château Le Bourdieu,2934
Château Le Crock,2935
Château Le Prieuré de Bellegarde,2936
Château Leboscq,2937
Château Les Bertrands,2938
Château Les Gravières de la Brandille,2939
Château Les Hauts de Palette,2940
Château Les Palais,2941
Château Les Rochers Mirande,2942
Château Lescalle,2943
Château Lestage Simon,2944
Château Lestrille,2945
Château Lestrille Capmartin,2946
Château Lestruelle,2947
Château Lieujean,2948
Château Lilian Ladouys,2949
Château Liversan,2950
Château Los Boldos,2951
Château Loudenne,2952
Château Lousteauneuf,2953
Château Loyasson,2954
Château Lynch-Bages,2955
Château Lynch-Moussas,2956
Château Lyonnat,2957
Château Léoube,2958
Château Léoville Barton,2959
Château Léoville Las Cases,2960
Château Léoville Poyferré,2961
Château Lézin,2962
Château Magdelaine,2963
Château Magneau,2964
Château Magnol,2965
Château Maine d'Arman,2966
Château Maine-Gazin,2967
Château Maison Blanche,2968
Château Maison Noble,2969
Château Majoureau,2970
Château Malaire,2971
Château Malartic-Lagravière,2972
Château Malavieille,2973
Château Malbec,2974
Château Marac,2975
Château Margaux,2976
Château Margüi,2977
Château Marion d'Audren,2978
Château Maris,2979
Château Marouïne,2980
Château Marquis de Terme,2981
Château Marsau,2982
Château Martet,2983
Château Maréchaux,2984
Château Mas Neuf,2985
Château Maubert,2986
Château Maucamps,2987
Château Maucoil,2988
Château Maupague,2989
Château Maurac,2990
Château Mauvesin Barton,2991
Château Mazails,2992
Château Mazeyres,2993
Château Meyney,2994
Château Mezain,2995
Château Mille-Roses,2996
Château Minuty,2997
Château Miraval,2998
Château Mirefleurs,2999
Château Monbousquet,3000
Château Monbrison,3001
Château Monconseil-Gazin,3002
Château Moncontour,3003
Château Mongravey,3004
Château Mont-Redon,3005
Château Montaud,3006
Château Montet,3007
Château Montlau,3008
Château Montrose,3009
Château Moulin Lafitte,3010
Château Moulin Saint-Georges,3011
Château Moulin de Beauséjour,3012
Château Moulin de Bel-Air,3013
Château Moulin de Canhaut,3014
Château Moulin de Clotte,3015
Château Moulin de Grillet,3016
Château Moulin de Mallet,3017
Château Moulin de Vignolle,3018
Château Moulin de la Rose,3019
Château Mouton Rothschild,3020
Château Moya,3021
Château Moyau,3022
Château Musar,3023
Château Myon de l'Enclos,3024
Château Métairie Neuve,3025
Château Nenin,3026
Château Nicot,3027
Château Noaillac,3028
Château Noblet,3029
Château Nozières,3030
Château Olivier,3031
Château Ollieux Romanis,3032
Château Ormes de Pez,3033
Château Palmer,3034
Château Paloumey,3035
Château Pape Clément,3036
Château Paradis,3037
Château Pas du Cerf,3038
Château Pasquet,3039
Château Patache d'Aux,3040
Château Paveil de Luze,3041
Château Pavie,3042
Château Pavie Macquin,3043
Château Penin,3044
Château Perthus,3045
Château Petit-Freylon,3046
Château Peugeais,3047
Château Pey de Pont,3048
Château Pey la Tour,3049
Château Peyfaures,3050
Château Peymouton,3051
Château Peyrabon,3052
Château Peyredon Lagravette,3053
Château Peyredoulle,3054
Château Peyros,3055
Château Philippe-le-Hardi,3056
Château Phélan-Ségur,3057
Château Pibran,3058
Château Pichon Longueville,3059
Château Pichon Longueville Comtesse de Lalande,3060
Château Picque Caillou,3061
Château Pierhem,3062
Château Pierrail,3063
Château Pierre de Montignac,3064
Château Pigoudet,3065
Château Piron,3066
Château Plaisance,3067
Château Plince,3068
Château Poitevin,3069
Château Pomeys,3070
Château Pontac Monplaisir,3071
Château Pontet-Canet,3072
Château Pontoise Cabarrus,3073
Château Ponzac,3074
Château Portillon,3075
Château Potelle,3076
Château Potensac,3077
Château Poujeaux,3078
Château Preuillac,3079
Château Prieuré Borde-Rouge,3080
Château Prieuré-Lichine,3081
Château Prieuré-les-Tours,3082
Château Puech-Haut,3083
Château Pégau,3084
Château Périer,3085
Château Quintus,3086
Château Rahoul,3087
Château Ramafort,3088
Château Ramage la Batisse,3089
Château Rauzan Despagne,3090
Château Rauzan-Gassies,3091
Château Rauzan-Ségla,3092
Château Raymond-Lafon,3093
Château Recougne,3094
Château Respide-Médeville,3095
Château Revelette,3096
Château Reverdi,3097
Château Reynon,3098
Château Reysson,3099
Château Rieussec,3100
Château Rimauresq,3101
Château Riotor,3102
Château Rives-Blanques,3103
Château Robert,3104
Château Robin,3105
Château Roc Meynard,3106
Château Roc Taillade,3107
Château Roc de Levraut,3108
Château Roc de Minvielle,3109
Château Roc de Ségur,3110
Château Roche-Lalande,3111
Château Rocher-Bonregard,3112
Château Rocher-Figeac,3113
Château Rollan de By,3114
Château Romer du Hayot,3115
Château Roquefeuille,3116
Château Roquefort,3117
Château Roquetaillade la Grange,3118
Château Roquevieille,3119
Château Roubaud,3120
Château Roubine,3121
Château Rousset-Caillau,3122
Château Roustaing,3123
Château Routas,3124
Château Roylland,3125
Château Réal Martin,3126
Château Réaut,3127
Château Saint Ahon,3128
Château Saint Baulery,3129
Château Saint Esteve d'Uchaux,3130
Château Saint Martin de la Garrigue,3131
Château Saint-Didier-Parnac,3132
Château Saint-Léon,3133
Château Saint-Maur,3134
Château Saint-Michel,3135
Château Saint-Pierre,3136
Château Saint-Robert,3137
Château Saint-Sernin,3138
Château Saint-Urbain,3139
Château Sainte Barbe,3140
Château Sainte Marguerite,3141
Château Sainte Marie,3142
Château Sainte Roseline,3143
Château Sainte-Anne,3144
Château Sainte-Barbe,3145
Château Sainte-Béatrice,3146
Château Sainte-Croix,3147
Château Sainte-Marguerite,3148
Château Sansey,3149
Château Saransot-Dupré,3150
Château Seguin,3151
Château Sergant,3152
Château Siaurac,3153
Château Sigalas Rabaud,3154
Château Signac,3155
Château Siran,3156
Château Smith Haut Lafitte,3157
Château Sociando-Mallet,3158
Château Sorbey,3159
Château Soudars,3160
Château Soussac,3161
Château Soutard,3162
Château Souverain,3163
Château St. Roch de Laurens,3164
Château Suau,3165
Château Suduiraut,3166
Château Ségur de Cabanac,3167
Château Sénilhac,3168
Château Sénéjac,3169
Château Sérilhan,3170
Château Talbot,3171
Château Tanesse,3172
Château Tanunda,3173
Château Taussin,3174
Château Tayet,3175
Château Terrasson,3176
Château Terre Blanque,3177
Château Tertre de Belvès,3178
Château Tertre de Launay,3179
Château Tertre de Viaud,3180
Château Tessendey,3181
Château Teyssier,3182
Château Thieuley,3183
Château Thivin,3184
Château Thuerry,3185
Château Thuron,3186
Château Thénac,3187
Château Timberlay,3188
Château Tire Pé,3189
Château Toumilon,3190
Château Tour Baladoz,3191
Château Tour Canon,3192
Château Tour Chapoux,3193
Château Tour Grand Colombier,3194
Château Tour Haut-Caussan,3195
Château Tour Prignac,3196
Château Tour Robert,3197
Château Tour Rozier,3198
Château Tour Saint-Germain,3199
Château Tour Saint-Joseph,3200
Château Tour Saint-Vincent,3201
Château Tour Seran,3202
Château Tour Simard,3203
Château Tour d'Auron,3204
Château Tour de Bonnet,3205
Château Tour de Calens,3206
Château Tour de Goua,3207
Château Tour de Guiet,3208
Château Tour de Lagarde,3209
Château Tour de Mirambeau,3210
Château Tour de Mons,3211
Château Tour de Pez,3212
Château Tour de Pressac,3213
Château Tour des Gendres,3214
Château Tour des Termes,3215
Château Tour du Moulin,3216
Château Tourans,3217
Château Tourril,3218
Château Tricot d'Arsac,3219
Château Trimoulet,3220
Château Trocard,3221
Château Trocard Monrepos,3222
Château Trois Moulins,3223
Château Trolliet Lafite,3224
Château Tronquoy-Lalande,3225
Château Troplong Mondot,3226
Château Trotanoy,3227
Château Tuilerie Pagès,3228
Château Turcaud,3229
Château Témperance,3230
Château Val Joanis,3231
Château Valandraud,3232
Château Vannières,3233
Château Vartely,3234
Château Verdignan,3235
Château Vergnes Beaulieu,3236
Château Vessière,3237
Château Viella,3238
Château Vieux Cardinal Lafaurie,3239
Château Vieux Ferrand,3240
Château Vieux Ligat,3241
Château Vieux Manoir,3242
Château Vieux Montagne,3243
Château Vieux Moulin,3244
Château Vieux Peyrouquet,3245
Château Vieux Robin,3246
Château Vignelaure,3247
Château Vignol,3248
Château Villa Bel Air,3249
Château Vincens,3250
Château Vircoulon,3251
Château Vitallis,3252
Château Vrai Caillou,3253
Château Vray Croix de Gay,3254
Château Woltner,3255
Château Yon Figeac,3256
Château d'Agassac,3257
Château d'Angludet,3258
Château d'Anglès,3259
Château d'Antugnac,3260
Château d'Aqueria,3261
Château d'Arcins,3262
Château d'Argadens,3263
Château d'Armailhac,3264
Château d'Arsac,3265
Château d'Arvigny,3266
Château d'Astros,3267
Château d'Auvernier,3268
Château d'Aydie,3269
Château d'Esclans,3270
Château d'Escurac,3271
Château d'Esteau,3272
Château d'Eyran,3273
Château d'Hanteillan,3274
Château d'Haurets,3275
Château d'Issan,3276
Château d'Ollières,3277
Château d'Or et de Gueules,3278
Château d'Orschwihr,3279
Château de Beaucastel,3280
Château de Beauregard,3281
Château de Beauregard-Ducourt,3282
Château de Bel,3283
Château de Bel-Air,3284
Château de Belcier,3285
Château de Berne,3286
Château de Bligny,3287
Château de Bonhoste,3288
Château de Bordes-Quancard,3289
Château de Bousquet,3290
Château de Brague,3291
Château de Braude,3292
Château de Bregançon,3293
Château de Brigue,3294
Château de Brondeau,3295
Château de Brézé,3296
Château de Calavon,3297
Château de Camensac,3298
Château de Campuget,3299
Château de Candale,3300
Château de Caraguilhes,3301
Château de Carolle,3302
Château de Chambert,3303
Château de Chamirey,3304
Château de Chantegrive,3305
Château de Corbiac,3306
Château de Corneilla,3307
Château de Cornemps,3308
Château de Cruzeau,3309
Château de Crézancy,3310
Château de Cénac,3311
Château de Côme,3312
Château de Ferrand,3313
Château de Fesles,3314
Château de Fieuzal,3315
Château de Fonbel,3316
Château de Fontenille,3317
Château de France,3318
Château de Francs,3319
Château de Fuissé,3320
Château de Gaudou,3321
Château de Genibon,3322
Château de Gironville,3323
Château de Goëlane,3324
Château de Hauterive,3325
Château de Janicon,3326
Château de Jau,3327
Château de Jurque,3328
Château de Lagarde,3329
Château de Lancyre,3330
Château de Lardiley,3331
Château de Lastours,3332
Château de Lavernette,3333
Château de Lestiac,3334
Château de Lisennes,3335
Château de Lugagnac,3336
Château de Léoube,3337
Château de Macard,3338
Château de Malengin,3339
Château de Maligny,3340
Château de Marsan,3341
Château de Meursault,3342
Château de Minière,3343
Château de Mirande,3344
Château de Monbadon,3345
Château de Monrecueil,3346
Château de Montfort,3347
Château de Montguéret,3348
Château de Nages,3349
Château de Paillet-Quancard,3350
Château de Pampelonne,3351
Château de Panigon,3352
Château de Parenchère,3353
Château de Pennautier,3354
Château de Perligues,3355
Château de Pez,3356
Château de Pierreux,3357
Château de Piote,3358
Château de Pitray,3359
Château de Pizay,3360
Château de Portets,3361
Château de Pourcieux,3362
Château de Raousset,3363
Château de Respide,3364
Château de Reynaud,3365
Château de Rhodes,3366
Château de Ricaud,3367
Château de Rochemorin,3368
Château de Roquebrune,3369
Château de Roquefort,3370
Château de Rouquette,3371
Château de Saint-Cosme,3372
Château de Saint-Martin,3373
Château de Sancerre,3374
Château de Santenay,3375
Château de Seguin,3376
Château de Sours,3377
Château de Suronde,3378
Château de Ségriès,3379
Château de Sérame,3380
Château de Terrefort-Quancard,3381
Château de Thauvenay,3382
Château de Tiregand,3383
Château de Tracy,3384
Château de Valcombe,3385
Château de Valflaunès,3386
Château de Varennes,3387
Château de Vaugelas,3388
Château de Vaux,3389
Château de Villambis,3390
Château de Villegeorge,3391
Château de Virecourt,3392
Château de l'Annonciation,3393
Château de l'Aubrade,3394
Château de l'Enclos,3395
Château de l'Escarelle,3396
Château de l'Hyvernière,3397
Château de la Bouyère,3398
Château de la Brède,3399
Château de la Chaize,3400
Château de la Cour,3401
Château de la Croix,3402
Château de la Crée,3403
Château de la Galinière,3404
Château de la Gardine,3405
Château de la Grave,3406
Château de la Guimonière,3407
Château de la Jaubertie,3408
Château de la Liquiere,3409
Château de la Ragotiere,3410
Château de la Roche-Aux-Moines,3411
Château de la Roulerie,3412
Château de la Selve,3413
Château de la Terrière,3414
Château de la Tuilerie,3415
Château de la Vieille Tour,3416
Château des Annereaux,3417
Château des Annibals,3418
Château des Antonins,3419
Château des Arnauds,3420
Château des Bertrands,3421
Château des Bormettes,3422
Château des Charmes,3423
Château des Combes,3424
Château des Demoiselles,3425
Château des Gravières,3426
Château des Jacques,3427
Château des Karantes,3428
Château des Landes,3429
Château des Lattes,3430
Château des Matards,3431
Château des Mille Anges,3432
Château des Perligues,3433
Château des Rontets,3434
Château des Sarrins,3435
Château des Tourtes,3436
Château du Bailli,3437
Château du Barrailh,3438
Château du Biac,3439
Château du Breuil,3440
Château du Caillau,3441
Château du Cartillon,3442
Château du Cayrou,3443
Château du Chatelard,3444
Château du Claouset,3445
Château du Coudray Montpensier,3446
Château du Cros,3447
Château du Cèdre,3448
Château du Domaine de l'Eglise,3449
Château du Donjon,3450
Château du Galoupet,3451
Château du Glana,3452
Château du Grand Bos,3453
Château du Lort,3454
Château du Moulin,3455
Château du Moulin Rouge,3456
Château du Parc,3457
Château du Petit Thouars,3458
Château du Pin Franc,3459
Château du Port,3460
Château du Prieur,3461
Château du Raux,3462
Château du Retout,3463
Château du Seuil,3464
Château du Taillan,3465
Château du Tertre,3466
Château du Trignon,3467
Château du Vallier,3468
Château l'Afrique,3469
Château l'Argenteyre,3470
Château l'Avocat,3471
Château l'Enclos,3472
Château l'Escart,3473
Château l'Espérance,3474
Château l'Estang,3475
Château la Baronnerie,3476
Château la Bassonnerie,3477
Château la Bessane,3478
Château la Brande,3479
Château la Calisse,3480
Château la Caminade,3481
Château la Canorgue,3482
Château la Chapelle Despagnet,3483
Château la Chapelle aux Moines,3484
Château la Clide,3485
Château la Colombière,3486
Château la Coustarelle,3487
Château la Croix Margautot,3488
Château la Croix Melin,3489
Château la Croix Saint-Pierre,3490
Château la Croix de Gay,3491
Château la Croix de Roche,3492
Château la Croizille,3493
Château la Dominique,3494
Château la Favière,3495
Château la Fleur,3496
Château la Fleur-Pétrus,3497
Château la Font du Jeu,3498
Château la Fortune,3499
Château la France,3500
Château la Freynelle,3501
Château la Gaffelière,3502
Château la Garde,3503
Château la Gordonne,3504
Château la Gorre,3505
Château la Grande Barthe,3506
Château la Gravette Lacombe,3507
Château la Gravière Grand Poujeaux,3508
Château la Grâce Dieu,3509
Château la Gurgue,3510
Château la Hargue,3511
Château la Haye,3512
Château la Jorine,3513
Château la Levrette,3514
Château la Longua,3515
Château la Louvière,3516
Château la Marzelle,3517
Château la Mascaronne,3518
Château la Moutète,3519
Château la Patache,3520
Château la Pervenche,3521
Château la Petite Roque,3522
Château la Rayre,3523
Château la Reyne,3524
Château la Rode,3525
Château la Roque de By,3526
Château la Tonnelle,3527
Château la Tour Blanche,3528
Château la Tour de Mons,3529
Château la Tour de l'Evêque,3530
Château la Verrière,3531
Château la Vieille Cure,3532
Château la Vivonne,3533
Château le Bergey,3534
Château le Bonnat,3535
Château le Castellot,3536
Château le Chêne,3537
Château le Devoy Martine,3538
Château le Doyenne,3539
Château le Gardera,3540
Château le Grand Paroissien,3541
Château le Joyeux,3542
Château le Manoir,3543
Château le Moulin d'Ulysse,3544
Château le Moulin de la Jaumarde,3545
Château le Noble,3546
Château le Pape,3547
Château le Paradis,3548
Château le Payral,3549
Château le Peyrat,3550
Château le Piat,3551
Château le Prieuré,3552
Château le Pré de la Lande,3553
Château le Raz,3554
Château le Reysse,3555
Château le Sartre,3556
Château le Temple,3557
Château le Vivier,3558
Château les Ancres,3559
Château les Arromans,3560
Château les Aubiers,3561
Château les Barraillots,3562
Château les Croisille,3563
Château les Grands Chênes,3564
Château les Hauts d'Aglan,3565
Château les Hauts de Palette,3566
Château les Lattes,3567
Château les Martinelles,3568
Château les Mottes Pradier,3569
Château les Ormes,3570
Château les Ormes de Pez,3571
Château les Pasquets,3572
Château les Peyroulets,3573
Château les Reuilles,3574
Château les Roches de Ferrand,3575
Château les Terrasses de Bouey,3576
Château les Tonnelles,3577
Château les Tours des Verdots,3578
Château les Valentines,3579
Château les Vergnes,3580
Château les Vieilles Pierres,3581
Château les Vimières,3582
Chêne Bleu,3583
Ciabot Berton,3584
Ciacci Piccolomini d'Aragona,3585
Ciao Bella,3586
Ciavolich Giuseppe,3587
Cicchitti,3588
Cielo Malibu Estate Vineyards,3589
Cielo e Terra,3590
Cielo y Tierra,3591
Cigale,3592
Cigar Box,3593
Cigliuti,3594
Cignale,3595
Cima Collina,3596
Cimarone,3597
Cimarossa,3598
Cims de Porrera,3599
Cinco Sentidos,3600
Cinder,3601
Cinnabar,3602
Cinquain,3603
Cinzano,3604
Cipriana,3605
Circadia,3606
Circe,3607
Circles Edge,3608
Cirillo,3609
Ciringa,3610
Ciro Picariello,3611
Cirotto,3612
Cirque du Vin,3613
Cirrus,3614
Cispiano,3615
Cistus,3616
Citari,3617
Citation,3618
Citille di Sopra,3619
City Limits,3620
City Winery Chicago,3621
City Winery of New York,3622
Civello,3623
Claar,3624
Claiborne & Churchill,3625
Clara Marcelli,3626
Clarbec,3627
Clarendelle,3628
Clarendon Hills,3629
Clark-Clauden,3630
Clark-Claudon,3631
Clarksburg Wine Company,3632
Claro,3633
Clary Ranch,3634
Claude Riffault,3635
Claudia Papayianni,3636
Claudia Springs,3637
Clautiere,3638
Clavesana,3639
Clavo Cellars,3640
Clawson Creek,3641
Clay Station,3642
Clayhouse,3643
Clean Slate,3644
Clear Night,3645
Clearview,3646
Clearwater Canyon,3647
Clement et Florian Berthier,3648
Clendenen,3649
Clendenen Family,3650
Clerget,3651
Cleto Chiarli,3652
Clif Family,3653
Cliff Creek,3654
Cliff Lede,3655
Clifford Bay,3656
Clifford Bay Estate,3657
Climbing,3658
Cline,3659
Clinton,3660
Cloak & Dagger,3661
Clockspring,3662
Clonakilla,3663
Clone 7,3664
Cloninger,3665
Clos Badon-Thunevin,3666
Clos Berenguer del Molar,3667
Clos Cypres,3668
Clos Dels Coduls,3669
Clos Erasmus,3670
Clos Figueras,3671
Clos Floridène,3672
Clos Fourtet,3673
Clos Gebrat,3674
Clos Henri,3675
Clos La Chance,3676
Clos La Soleya,3677
Clos LaChance,3678
Clos Larcis,3679
Clos Malverne,3680
Clos Marguerite,3681
Clos Mogador,3682
Clos Monicord,3683
Clos Mont-Blanc,3684
Clos Pegase,3685
Clos Pepe,3686
Clos Pons,3687
Clos René,3688
Clos Saint Michel,3689
Clos Sainte-Anne,3690
Clos Solène,3691
Clos Teddi,3692
Clos Troteligotte,3693
Clos Ventana,3694
Clos d'Yvigne,3695
Clos de Chacras,3696
Clos de Haute-Combe,3697
Clos de L'Oratoire des Papes,3698
Clos de Tafall,3699
Clos de Tart,3700
Clos de l'Hermitage,3701
Clos de la Coulée de Serrant,3702
Clos de la Tech,3703
Clos de los Siete,3704
Clos des Amis,3705
Clos des Augustins,3706
Clos des Moiselles,3707
Clos des Nines,3708
Clos des Rocs,3709
Clos des Terrasses,3710
Clos du Bois,3711
Clos du Cellier aux Moines,3712
Clos du Gaimont,3713
Clos du Lac,3714
Clos du Marquis,3715
Clos du Moulin,3716
Clos du Roy,3717
Clos du Val,3718
Clos l'Hermitage,3719
Clos la Bohème,3720
Clos la Coutale,3721
Closerie du Bailli,3722
Cloud View,3723
Cloudlift Cellars,3724
Cloudline,3725
Clouds Rest,3726
Cloudy Bay,3727
Clover Hill,3728
Clovis Point,3729
Club Deluxe,3730
Clunia,3731
Clusserath-Weiler,3732
Cluster M45,3733
Clément Klur,3734
Co Dinn,3735
Coach House,3736
Coastal Ridge,3737
Coastline,3738
Coastline Cellars,3739
Coastview,3740
Coates,3741
Cobb,3742
Cobblestone,3743
Cobden Wini,3744
Coccinella,3745
Cockatoo Ridge,3746
Cockburn's,3747
Cockfighter's Ghost,3748
Cocobon,3749
Coda,3750
Codirosso,3751
Codorníu,3752
Codorníu Napa,3753
Coelho,3754
Coeur d'Alene,3755
Coeur de Terre,3756
Coffee Pot Cellars,3757
Coffele,3758
Coghlan,3759
Coho,3760
Coiled,3761
Coiron,3762
Col Saliz,3763
Col Solare,3764
Col Vetoraz Spumanti,3765
Col d'Orcia,3766
Col de' Salici,3767
Col di Bacche,3768
Col di Lamo,3769
Col di Luna,3770
Cola,3771
Colby,3772
Colby Red,3773
Cold Heaven,3774
Coldisole,3775
Coldstream Hills,3776
Colesel,3777
Colgin,3778
Coli,3779
Colina Verde,3780
Colinas de São Lourenço,3781
Colinas do Douro,3782
Colio,3783
Collalbrigo,3784
Collavini,3785
Collazzi,3786
Colle Nero,3787
Colle Spinello,3788
Colle dei Bardellini,3789
Colle dei Venti,3790
Collection 35,3791
College Cellars,3792
Collelceto,3793
Collemassari,3794
Collemattoni,3795
Colli del Soligo,3796
Colli di Castelfranci,3797
Colli di Lapio,3798
Colli di Serrapetrona,3799
Colliano,3800
Collier Falls,3801
Collina San Ponzio,3802
Collosorbo,3803
Collovray et Terrier,3804
Colmello di Grotta,3805
Colognole,3806
Colombaio,3807
Colomé,3808
Colonia Las Liebres,3809
Color Block,3810
Colores del Sol,3811
Colosi,3812
Colter's Creek,3813
Colterenzio,3814
Columbia Crest,3815
Columbia Winery,3816
Colutta,3817
Colvin Vineyards,3818
Com e Bella,3819
Comartin,3820
Comelli,3821
Comenge,3822
Comm. G. B. Burlotto,3823
Commanderie de la Bargemone,3824
Communication Block,3825
Comoloco,3826
Companhia das Quintas,3827
Compass,3828
Compañia de Vinos del Atlántico,3829
Comte Audoin de Dampierre,3830
Comte LaFond,3831
Comte de Lantage,3832
Comtesse Thérèse,3833
Con Carne,3834
Conarium,3835
Concannon,3836
Conceito Vinhos,3837
Concentration,3838
Concertum,3839
Concha y Toro,3840
Concilio,3841
Condado de Haza,3842
Condado de Oriza,3843
Conde Bel,3844
Conde Villar,3845
Conde de Altava,3846
Conde de Caralt,3847
Conde de Hervías & Mencos,3848
Conde de Jauregui,3849
Conde de Olzinellas,3850
Conde de Siruela,3851
Conde de Subirats,3852
Conde de Velázquez,3853
Conde de la Salceda,3854
Condes de Albarei,3855
Condesa Eylo,3856
Condesa de Leganza,3857
Condor's Summit,3858
Condé,3859
Confin,3860
Congress Springs,3861
Coniglio,3862
Conn Creek,3863
Conn Valley,3864
Cono Sur,3865
Conquista,3866
Conquista de Argentina,3867
Conreria d'Scala Dei,3868
Consejo de la Alta,3869
Conselve,3870
Consilience,3871
Consorzio Vini Tipici di San Marino,3872
Conspire,3873
Constant,3874
Constantia Glen,3875
Constantin Gofas,3876
Contadi Castaldi,3877
Contador,3878
Conte Brandolini,3879
Conte Collalto,3880
Conte Ferdinando Guicciardini,3881
Conte Leopardi,3882
Conte Loredan Gasparini,3883
Conte d'Attimis-Maniago,3884
Conterno Fantino,3885
Conti Costanti,3886
Conti Formentini,3887
Conti Leopardi di San Leopardo,3888
Conti Zecca,3889
Contino,3890
Continuum,3891
Contour,3892
Contrada Michele,3893
Contrade di Taurasi - Lonardo,3894
Contratto,3895
Contucci,3896
Conundrum,3897
Convento Cappuccini,3898
Convento Oreja,3899
Convento San Francisco,3900
Convergence Zone,3901
Conviviale,3902
Conway,3903
Cook's,3904
Cookies & Cream,3905
Cookoothama,3906
Cool Woods,3907
Coomber Family Ranch,3908
Cooper,3909
Cooper Mountain,3910
Cooper Station,3911
Cooper Vineyards,3912
Cooper's Hawk,3913
Cooper-Garrod,3914
Cooperativa Reguengos de Monsaraz,3915
Coopers Creek,3916
Cooralook,3917
Copain Wines,3918
Copeland Creek,3919
Copper Belt,3920
Copper River Estate,3921
Coppo,3922
Coquelicot,3923
Coquerel Family Wine Estates,3924
Cor Cellars,3925
Corazón Verde,3926
Corbans,3927
Corbett Canyon,3928
Cordelier,3929
Cordella,3930
Cordero di Montezemolo,3931
Core Winery,3932
Corey Creek,3933
Corinne et Pierre Grossot,3934
Corinto,3935
Coriole,3936
Corison,3937
Corkscrew,3938
Corley,3939
Corley Reserve,3940
Corliss Estates,3941
Cormòns,3942
Cornaleto,3943
Cornarea,3944
Cornellana,3945
Corner 103,3946
Cornerstone,3947
Corona de Aragón,3948
Corona de Castilla,3949
Coronica,3950
Corte Adami,3951
Corte Aleardi,3952
Corte Archi,3953
Corte Campagnola,3954
Corte Figaretto,3955
Corte Giona,3956
Corte Lenguin,3957
Corte Mainente,3958
Corte Moschina,3959
Corte Pavone,3960
Corte Rugolin,3961
Corte San Benedetto,3962
Corte Sant' Alda,3963
Corte alla Flora,3964
Corte dei Venti,3965
Corteforte,3966
Cortenova,3967
Cortes de Cima,3968
Cortijo,3969
Coruce,3970
Corvalle,3971
Corvallis Cellars,3972
Corvidae,3973
Corvo,3974
Corvus,3975
Cosa Obra,3976
Cosecheros y Criadores,3977
Cosentino,3978
Cosme Palacio y Hermanos,3979
Cosmos,3980
Costa Archi,3981
Costa Olmo,3982
Costa de Oro,3983
Costa del Sol,3984
Costa di Bussia,3985
Costanza Malfatti,3986
Costaripa,3987
Costaval,3988
Costers del Priorat,3989
Costers del Siurana,3990
Cota 585,3991
Cote Tariquet,3992
Coto de Gomariz,3993
Coto de Hayas,3994
Cottanera,3995
Cottesbrook,3996
Cottier,3997
Cottonwood Canyon,3998
Cottonwood Creek,3999
Cottonwood Winery of Oregon,4000
Coturri Winery,4001
Coudert Pere et Fils,4002
Cougar Crest,4003
Couloir,4004
Coulson Eldorado,4005
Couly-Dutheil,4006
Count Károlyi,4007
Counter Punch,4008
Coup de Foudre,4009
Coup de Grace,4010
Courtney Benham,4011
Courtney's Angels,4012
Cousiño-Macul,4013
Couvillion,4014
Couvillion Winery,4015
Covenant,4016
Covey Run,4017
Covila,4018
Covilalba,4019
Covington,4020
Cowhorn,4021
Cox,4022
Coyote Creek,4023
Crabtree,4024
Craftsman,4025
Craggy Range,4026
Cramele Halewood,4027
Cramele Recas,4028
Crane Brothers,4029
Crane Lake,4030
Craneford,4031
Crauford,4032
Crawford,4033
Crayelle Cellars,4034
Creación,4035
Creation,4036
Creed of Barossa,4037
Creencia,4038
Cremaschi Furlotti,4039
Crescendo,4040
Creta Olympias,4041
Creō,4042
Criadores de Rioja,4043
Crichton Hall,4044
Cricova,4045
Crinella,4046
Criss Cross,4047
Cristalino,4048
Cristiari,4049
Cristobal 1492,4050
Cristom,4051
Criterion,4052
Crocker & Starr,4053
Croft,4054
Croix Milhas,4055
Croix du Mayne,4056
Croney Estates,4057
Crooked Path,4058
CrossKeys,4059
Crossbarn Paul Hobbs,4060
Crossbarn by Paul Hobbs,4061
Crossfork Creek,4062
Crossroads,4063
Crowded House,4064
Crown Range,4065
Croze,4066
Cru,4067
Cru Monplaisir,4068
Cru Vin Dogs,4069
Crucillon,4070
Crushed,4071
Crux,4072
